"","proj","AUC","Brier","Chi","Pval"
"149","bitrig-xenocara",0.791063985265463,0.0914313226395669,0.0943579650876478,9.90785231635982e-12
"151","blacktie",0.766223568874714,0.109167311479123,0.107121425922525,7.34478933228644e-09
"152","bloatit",0.864763873813174,0.139677171021571,0.154139508689502,0
"153","blojsom-sourceforge",0.909797446814909,0.0357897765007071,0.143143278215232,3.89897465424838e-07
"154","blueprints-seas",0.771993464779287,0.174714383213514,0.218015633557753,9.19367808993599e-07
"157","boost",0.707780045943107,0.0512907533562727,0.0337499559358611,0.0225111145511447
"163","bsc-project",0.790217694135596,0.170717989467021,0.0628678276760203,0
"166","bw-classic",0.742697057382922,0.11071305353047,0.101120623619379,8.86716680081889e-08
"167","caadapter",0.74144548661003,0.072545616449977,0.042482741784636,0.00655336843194509
"169","cacique",0.798057548232953,0.0574426922039351,0.251064931447842,5.10047559743043e-12
"170","cadmium",0.829221779532138,0.132895759218453,0.109167501609457,0.000132296158218748
"171","cadpage",0.715322316573349,0.211984512461758,0.0402863076958621,1.52968842925816e-07
"174","caleydo",0.97648602651785,0.024413992617828,0.170967305911342,0
"176","camlistore",0.779296240568285,0.0901443286413159,0.200522007944122,0
"177","camod",0.829095694669637,0.082393745973666,0.0179568163230569,0.000671962354919731
"178","camunda-bpm-platform",0.806025979469631,0.139372265741065,0.207343223074283,0
"179","candlepin",0.824633789730664,0.144628186989383,0.29752304656292,0
"180","capdemat",0.799133210727252,0.121270368893334,0.110945108306548,1.32471811298274e-12
"182","carat",0.765553254014965,0.188909028636043,0.269783888256737,4.39226433002204e-12
"183","carrot2",0.790522293190049,0.0767651464583586,0.0431885070428154,2.40017897518152e-05
"184","cartoweb3",0.763700764243122,0.0931734900603171,0.0825803513384677,3.32339369912837e-07
"185","caTissue",0.766015788228099,0.0721840541212393,0.258567249790923,0
"186","catissue-core",0.736181952734814,0.076788735875703,0.0856747264449743,3.01660918466951e-10
"187","catissue-dynamic-extensions",0.742152725424933,0.156380678076955,0.0146194510229983,0.0202374703252628
"190","cda",0.820015869836227,0.146975297026873,0.295100978617785,4.56301663120939e-13
"191","cdt-core",0.806609123488115,0.163090211903628,0.0310583939265719,1.75960542470044e-07
"192","cedet",0.809808483038751,0.0984563462452228,0.14270146802221,0
"193","cegis",0.801689982470644,0.147641395872365,0.114875344183637,0.000119362760930386
"195","cesium2",0.812501997000174,0.146041732696529,0.28767553934516,0
"196","ceylon",0.752948744492469,0.132952257506331,0.069267809120242,9.54725187796157e-12
"197","cgeo",0.812286448310795,0.153776091265529,0.226698628446633,0
"198","ChatHammer-9000",0.771867440528554,0.194344723437781,0.137814133651293,2.96085949631486e-05
"199","check_mk",0.786454643496584,0.0929112234412309,0.238646013730563,0
"201","chico",0.812899359473964,0.0760701625583427,0.104659683389601,5.81492076712209e-10
"202","chipster",0.8156892032261,0.088928394557218,0.222793946674276,0
