"","proj","AUC","Brier","Chi","Pval"
"75","cacique",0.775835902323749,0.0587987803547938,0.0169499825073659,0.0742288018108653
"76","cadmium",0.830010609792888,0.132526638917626,0.015216884906717,0.155467469800513
"77","cadpage",NA,NA,NA,NA
"78","caleydo",0.969140396566409,0.0262076181972322,0.0416040378646559,3.34799594225998e-06
"79","camlistore",0.766341644105184,0.0927977409921475,0.023672997838223,0.00532254240894681
"80","camod",0.85576088655689,0.0790755335170599,0.203390483286291,0
"81","camunda-bpm-platform",0.788039942818859,0.143698936116631,1.08280580108074e-05,0.910858854742879
"82","candlepin",0.805496898165416,0.149947347731995,0.0802743454469559,0
"83","capdemat",0.797442536778778,0.121709392723263,0.0567688519591541,2.54781270969673e-07
"84","carat",0.739358633355143,0.198237509380974,0.00686193304004358,0.308245084564186
"85","carrot2",0.857246967568476,0.0608663094071605,0.590575178640052,0
"86","cartoweb3",0.755925192869329,0.0934431418658738,0.00907910411757114,0.099958249166367
"87","caTissue",0.79091353915294,0.0679581764753744,0.473599903994028,0
"88","catissue-core",0.7263316195987,0.0775677734602727,0.0193066206064924,0.00358613339536318
"89","catissue-dynamic-extensions",0.871261910751555,0.119274331820547,0.693830880852023,0
"90","cda",0.795380018357362,0.155334901721474,0.0356575879449344,0.0108054152445728
"91","cdt-core",0.8103235247433,0.161728804831601,0.0808365061377375,0
"92","cedet",0.836778854194937,0.0973993620280106,0.273775534975229,0
"93","cegis",0.789555360552246,0.154378217301323,0.00138664103106498,0.680487708476752
"94","cesium2",0.826142449923059,0.145788236459472,0.268281646895341,0
"95","ceylon",0.748997598356367,0.133932140581961,0.00465963800313448,0.0838088116964801
"96","cgeo",0.810132424051655,0.155625920066303,0.123049159950118,0
"97","ChatHammer-9000",0.767740195384865,0.196182582391413,0.0436464814191436,0.0234674717455777
"98","check_mk",0.767923499447791,0.0947609521439995,2.58223268065197e-05,0.905439650582706
"99","chico",0.799657179997191,0.0746031024160864,0.0953048617835943,3.32280813974961e-09
"100","chipster",0.79404888321956,0.0936424028828231,5.34406599689229e-05,0.827336715423334
"101","chisimba",0.682701918254539,0.185321681496296,0.412769033107291,0
"102","chukwa",0.803606432575906,0.156730198993937,0.137479134691835,2.37337160101658e-05
"103","Chunky",0.722739748079787,0.180009480465711,0.0812527546243466,0.0145532437030802
"104","cinder_base",0.803412371903575,0.0899951007416499,0.00213001938962831,0.419950156572245
"105","Citizens",0.80260842260684,0.164336187776412,0.00902934495083761,0.254381864209499
"106","ClassyGames",0.766966451273882,0.186954613915441,0.00367704236283692,0.501643739429886
"107","clever",0.784671706750548,0.158186092078766,0.000947229252642394,0.459897817203805
"108","clocc",0.765121322288402,0.114911576956171,0.10217621824834,7.09859482306285e-09
"109","cloud-odata-java",0.771018394884408,0.152851944410606,0.234821385090715,0
"110","Cloudify-iTests",0.721429600583799,0.174692843622031,0.461035583775198,0
"111","cloudify-widget",0.774111155606889,0.156195069593872,0.0274912822460712,0.0245687448605957
"112","cloudreader",0.78802303056769,0.180302690165327,0.00258717570298683,0.186730132178314
"113","cmu-sphinx4",0.749604880556838,0.167807218537234,0.0083332173233843,0.043475846435177
"114","coastal-hazards",0.804250759833891,0.107131752944458,0.0255542132278349,0.000175994372879851
"115","cobbler",0.75988584628266,0.129972176955344,0.000111884383127828,0.816785988805059
"116","cocos2dx-js-callbacks",0.800413971937907,0.171928068229719,0.00059752016089564,0.519145536319582
"117","coge",NA,NA,NA,NA
"118","collectd",NA,NA,NA,NA
"119","Colloquy",0.794049988913181,0.149293769435488,0.373121703064368,0
"120","com",0.700277952500903,0.161456133196166,0.000151703719904549,0.761300132211255
"121","commons-lang",0.933275266528466,0.0964867221562541,0.561195214513437,0
"122","commons-math-optimizers",0.868595386412363,0.123442547848969,0.545725660478368,0
"123","commons-vfs",0.676534393324087,0.159546056003597,0.0424366773837348,0.144859615695799
"124","commonsense-frontend",0.826221566675032,0.171215873284367,0.044614791607679,0.00565386669571399
"125","console",0.777994241869531,0.157219490534662,0.0211465868804904,0.00160946838274567
"126","Contiki-IDS",0.68675673210611,0.173815476888948,0.0606213436951449,5.49301704122485e-09
"127","continuum",0.786536890677653,0.103078366393884,0.129193843729402,0
"128","core",0.784166306777787,0.141886608109341,0.000253158104893476,0.510050005198121
"129","core-geonetwork",0.778685670938853,0.142396417253323,0.00975658861679405,0.000807541879955576
"130","corsix-th",0.81608028991017,0.168269281099728,0.0125464123984813,0.00375256365369947
"131","cosmo",0.747688098211063,0.196258958967699,0.00254493253891026,0.23275675188559
"132","coweb",0.787644880454529,0.146843673571733,0.00908867971526718,0.317476201006163
"133","cpu-bitminer",0.832188138322688,0.102195770695549,0.53233730083495,0
"134","crtmpserver",0.887587811744619,0.124163519134798,0.671257680196493,0
"135","crtmpserver-os_x",0.801443600226151,0.174264229888002,0.0452652156636993,0.0106864803629013
"136","crtools",0.747463747952709,0.0274104527023975,0.267649718826669,2.07770800564333e-10
"137","cruisecontrol",0.787955684370035,0.134348417675576,0.155636320030654,0
"138","crux-framework",0.821898427711364,0.0793140102167964,0.271388589511622,0
"139","CS143-Project",0.77694861650463,0.168877565933121,0.0103744940966824,0.241231477504242
"140","csft5",0.734145107962876,0.208779477209172,0.0753155185199215,6.00479366230644e-09
"141","csipsimple",0.784727946632073,0.18452196218713,0.0258840665163014,0.00020358826617084
"142","csolve",0.753088410221417,0.142256374504315,0.00648026344371797,0.086268399415359
"143","ctags",0.799624553468149,0.0843706590728796,0.175161902476789,0
"144","CVC4",0.820804930302058,0.171213032256042,0.0628875399904982,2.9964919434633e-13
"145","cyberdojo",0.71861412351807,0.0950146718009991,0.0102068415431805,0.0339437260751015
"146","cyklotron",NA,NA,NA,NA
"147","cytoscape-impl",0.762371790508647,0.190807716699152,0.0189293599156777,0.000413041047191309
"148","cytoscape2",0.898964687983886,0.110921110637969,0.725641750039124,0
"149","dANN",0.890479294601561,0.131151042226903,0.793197113024987,0
"150","dasher",0.869199190617417,0.11536802993488,0.115117799242589,0
"151","databus",0.795821765554979,0.140361515769018,0.00219839779378564,0.580607749147077
"152","datahappi",0.732684184850825,0.19509891325666,0.000496595865948258,0.829201573539845
"153","dbflute",NA,NA,NA,NA
"154","DBS",0.7587376479635,0.153835896169254,0.0389404301020466,5.24515353039767e-07
"155","dcache",0.778903745920308,0.136576505323508,0.298550593197672,0
"156","ddb-next",0.813270604029278,0.0541643690602566,0.256049767698797,0
"157","ddd",0.816006651317044,0.149593091888505,0.00277179771152975,0.10795480733267
"158","deegree3",0.721965671984847,0.160899058783723,0.107890763088093,3.77475828372553e-15
"159","delving",0.791285737527692,0.0975838545408709,0.000244399490815962,0.77407450585214
"160","Demigods",0.759761887024679,0.178160301585905,0.00017825862512204,0.764326368012799
"161","Denizen",0.779135348626758,0.186161555697315,0.00290837797387438,0.14322366303031
"162","derby",0.709757521421766,0.147959500847066,0.000421233486706624,0.636207031230502
"163","development",0.860069569823651,0.040923590326142,1.45995935981559e-05,0.95181930494112
"164","dimple",0.808722163303956,0.155016319402569,0.00550518124472298,0.151920661254949
"165","directory-shared",0.694203777682351,0.21003254985872,0.0174121321829701,0.00730787560089019
"166","directory-studio",0.800198367419252,0.115194738762991,0.00593197638211324,0.0555933237921453
"167","DMDirc",0.85835626957922,0.151574179764613,0.0309826577084274,1.11022302462516e-16
"168","dnd",0.749626314719892,0.183579714087967,0.0843854659810497,0.00197521448184512
"169","Docear",0.775686260700429,0.145723432684924,0.0390964039824683,1.30775523077276e-07
"170","dojox",0.734027051381357,0.20636490125689,0.00469299224184782,0.0432123978941631
"171","dojox-oldmirror",0.74873689433637,0.201040303230597,0.212635989946828,0
"172","domjudge",0.738747499916391,0.133923000239147,0.0010183778649973,0.489991422076535
"173","dotCMS",0.847381366840242,0.098353943070154,0.31580516037194,0
"174","dresdenocl",0.879302401978973,0.0474291375821311,0.12330937108985,1.59253773421852e-05
"175","drools",0.809572378265759,0.137150585007982,0.453618029660293,0
"176","druid",0.813916357110529,0.13418685568516,0.0484567666724736,5.77063952178491e-11
"177","DSpace",0.74612590830551,0.116498473062968,0.0958562357977439,2.22044604925031e-15
"178","DSpace-SVN-Deprecated",0.708555988200698,0.131567882852244,0.0112528812309441,0.0548541724738596
"179","eclipse",NA,NA,NA,NA
"180","ecologylabFundamental",0.699908682555102,0.202411620866015,0.0732900168262356,1.35404312973098e-06
"181","elasticsearch",0.843776226931193,0.138890654886344,0.46464400631727,0
"182","Electric-Expansion",0.863083001528187,0.146534464437743,0.480862587039055,0
"183","EMS",0.876647573510662,0.12382708122058,0.000188296771371591,0.871193201832831
"184","emul",0.811645275529935,0.152835152691438,0.281236876814183,0
"185","encog-java-core",0.736281317309689,0.168566203693519,0.0010234746602222,0.535582879717403
"186","encuestame",0.835308220729759,0.154685498392499,0.364905674250085,0
"187","EnderIO",0.836208961957681,0.144543345755781,0.00735397302968451,0.0251207602199263
"188","enkive",0.804554892205492,0.163034447843673,0.192716316836022,1.59421445933283e-07
"189","errai",0.803449202831082,0.17192602256308,0.146868094634154,0
"190","escidoc-core",0.740778021164125,0.146245571587977,0.00260600151608059,0.334235813300496
"191","Essentials",0.733861088252659,0.155041480928927,0.0701759310482668,1.03398572259827e-06
"192","etoile",0.77440940804484,0.149317299203798,0.450562710057138,0
"193","Etoile",0.851706661917217,0.124062426716729,0.827124087404655,0
"194","evolution-data-server",NA,NA,NA,NA
"195","experiment",0.889780025969283,0.112408728641532,0.179210839506862,0
"196","exponent-cms",0.730312378366324,0.165643282599036,0.00636706444659053,0.0344746777583121
"197","faaa_project",0.854228754868964,0.13726682946038,0.361335372479023,4.44089209850063e-16
"198","fbc",0.782386769308951,0.163715976932753,1.72794944622059e-06,0.962881209781765
