"","name","wilcoxP","cdEst","cdMag"
"145","datahappi",0.000250887224604103,0.113464825772518,"negligible"
"146","DBS",0.0832927031176878,0.0528972167433706,"negligible"
"147","dcache",0.00142075120802767,0.0986785009861933,"negligible"
"148","ddb-next",0.901547579711369,0.00240850317773395,"negligible"
"149","ddd",0.710548287110187,0.0101731317115933,"negligible"
"150","deegree3",0.847537100498458,0.00456059609905764,"negligible"
"151","delving",0.95412701681923,-0.00328511943896559,"negligible"
"152","Demigods",0.227790650389849,0.0363883410037256,"negligible"
"153","Denizen",2.63292858811945e-05,0.130468989699759,"negligible"
"154","derby",0.39136201350828,0.0254328292789831,"negligible"
"155","development",0.919480947969207,0.00170063554678939,"negligible"
"156","dimple",0.922917600525306,-0.00451895682664914,"negligible"
"157","directory-shared",0.00310135253490997,-0.0943239097085251,"negligible"
"158","directory-studio",0.501755808013041,0.019612097304405,"negligible"
"159","DMDirc",0.0987567994470248,-0.0533070348454964,"negligible"
"160","dnd",0.313749762028369,-0.03310322156476,"negligible"
"161","Docear",0.00191300391870387,0.0959456497918036,"negligible"
"162","dojox",1.27365886561259e-20,-0.293754109138725,"small"
"163","dojox-oldmirror",2.35848332394737e-21,0.296370808678501,"small"
"164","domjudge",0.0289934767512117,0.0670699101468332,"negligible"
"165","dotCMS",1.09954130685992e-05,0.136572430418584,"negligible"
"166","dresdenocl",0.978056257240292,-0.000613631382862155,"negligible"
"167","drools",1.42466054575836e-08,0.176528599605523,"small"
"168","druid",0.610313123990436,0.0145233399079553,"negligible"
"169","DSpace",0.474514726140209,0.0209730440499671,"negligible"
"170","DSpace-SVN-Deprecated",0.635683007389767,0.0133968880122726,"negligible"
"171","ecologylabFundamental",0.656434559842346,0.0124895901818979,"negligible"
"172","elasticsearch",4.31576787114351e-10,0.194505807582731,"small"
"173","Electric-Expansion",0.153030374561543,-0.0463379355687048,"negligible"
"174","EMS",0.738184002869771,0.00901818978742056,"negligible"
"175","emul",0.00179550201490873,0.0965395573087881,"negligible"
"176","encog-java-core",0.453219428097933,0.0220688143765067,"negligible"
"177","encuestame",8.62251927965287e-08,0.166592154284462,"small"
"178","EnderIO",0.140705263881955,0.0447709840017532,"negligible"
"179","enkive",0.948678379445522,-0.00350208196362043,"negligible"
"180","errai",0.471070977434992,0.0211483673022135,"negligible"
"181","escidoc-core",0.507909932496564,0.019307473153627,"negligible"
"182","Essentials",2.33354542488449e-17,0.264617576156038,"small"
"183","etoile",0.170952358304725,0.0415033968880123,"negligible"
"184","Etoile",2.63300769331632e-40,0.41577251808021,"medium"
"185","evolution-data-server",NA,NA,NA
"186","experiment",2.69875162094968e-14,0.237479728248959,"small"
"187","exponent-cms",0.105280689943508,0.0493732193732194,"negligible"
"188","faaa_project",2.52037247473927e-15,0.246923076923077,"small"
"189","fbc",0.22903117220485,0.0362853385930309,"negligible"
"190","fcrepo",0.972488763601041,-0.00256410256410256,"negligible"
"191","fcrepo-before33",0.0948839878267295,0.0509533201840894,"negligible"
"192","fcrepo-historical",0.0745189918618305,0.0545101906640368,"negligible"
"193","featurehouse",0.616785442692929,0.0142340565417489,"negligible"
"194","felix",0.946455120816364,-0.00358755204909051,"negligible"
"195","FermaNext",5.18179040515427e-05,-0.12853385930309,"negligible"
"196","fitnesse",0.0154568556115137,0.074543063773833,"negligible"
"197","fixmystreet",0.221501517926929,0.0369033530571992,"negligible"
"198","flamingo",0.167015961980181,0.0419044488275258,"negligible"
"199","fop",0.32783551292121,-0.0321981152750383,"negligible"
"200","fossology",8.8818023782513e-24,0.314131054131054,"small"
"201","FProj_Gruppe48",0.693670753482938,-0.0138439623055008,"negligible"
"202","framework",0.683698080531751,-0.0142691211921981,"negligible"
"203","FrameworkBenchmarks",0.687084763059606,0.0111702827087442,"negligible"
"204","frameworks_av",0.114623530267416,0.0480626780626781,"negligible"
"205","freeplane",0.977165379362798,-0.000576375191759808,"negligible"
"206","FreeRDP",1.57162890554626e-19,0.282303309226386,"small"
"207","fritzing",0.0138925341261031,0.0757484111330265,"negligible"
"208","Frost",0.349685437438773,0.0278807801884725,"negligible"
"209","frostwire-desktop",4.99500959859107e-06,0.141829936445321,"negligible"
"210","functional-tests",0.874854318167449,-0.00642559719482796,"negligible"
"211","fuse",0.883554102788279,-0.00607714223098838,"negligible"
"212","g3m",4.93129729400689e-07,0.15640587332895,"small"
"213","galleria",0.53926458789672,0.0177975016436555,"negligible"
"214","gatein-portal",0.651095231366505,-0.015678281832128,"negligible"
"215","geany",0.52323961986695,0.0185623493315801,"negligible"
"216","genomix",0.000159288191562502,0.117069910146833,"negligible"
"217","geo-platform",1.18376969803009e-61,0.518636861713785,"large"
"218","geogebra",0.798543806393247,0.006537365768135,"negligible"
"219","geoknow",0.409113106438714,-0.0273942581634889,"negligible"
"220","geoserver-old",0.00365116192021542,0.0897874205566513,"negligible"
"221","geotools",0.00952720242198391,0.0799211045364892,"negligible"
"222","gephi",2.23489649051944e-16,0.256221783914092,"small"
"223","gerrit",0.00690400285699144,-0.0862853385930309,"negligible"
"224","gettext",0.789392045571791,-0.00986631602016217,"negligible"
"225","gforth",0.422392257204051,-0.0266666666666667,"negligible"
"226","giraph",0.450197966412978,0.0222287968441815,"negligible"
"227","gitblit",0.939121419141593,-0.00387683541529695,"negligible"
"228","glusterfs",0.601438982653751,0.0149222003068157,"negligible"
"229","gnorasi",0.000284873411651946,0.112436993206224,"negligible"
"230","google-closure-compiler",2.7150597726346e-37,0.39913872452334,"medium"
"231","gradecraft-development",0.802536257992057,-0.00933158010081087,"negligible"
"232","grails",3.98121177071822e-05,0.12750164365549,"negligible"
"233","grailsnolib",0.260137911513652,-0.0368310322156476,"negligible"
"234","GridSphere",0.00128252144505742,0.0996011396011396,"negligible"
"235","gridworks",0.42457575182474,0.0235919351303967,"negligible"
"236","grizzly-mirror",2.30336893245186e-05,0.131439842209073,"negligible"
"237","groovy",0.180482585537502,-0.0435239973701512,"negligible"
"238","gSDL",0.485452367638593,0.0204207758053912,"negligible"
"239","guicey",3.14784379244345e-08,-0.17517422748192,"small"
"240","gwt",1.0743924608262e-14,-0.244146394915626,"small"
"241","gwtquery",0.00206737820622489,-0.0981788297172912,"negligible"
"242","h-store",0.282891727653874,0.0322331799254876,"negligible"
"243","h2-bitmap",0.281579430796416,-0.0352838045145737,"negligible"
"244","hadoop",0.00301400706429028,-0.0946000438308131,"negligible"
"245","hadoop-1",0.511226211070265,-0.0221038790269559,"negligible"
"246","hadoop-fork",0.182581709144603,0.0403637957484111,"negligible"
"247","haxe",0.00104772524643117,0.101411352180583,"negligible"
"248","hbase_namespace",0.333666738783815,-0.0318299364453211,"negligible"
"249","hbird",0.307155988292026,0.030582949813719,"negligible"
"250","hermes",0.966588689561938,-0.00279202279202279,"negligible"
"251","hibernate-orm",0.0213601535282731,0.0707736138505369,"negligible"
"252","highcharts",0.00206060347658654,0.0952553144860837,"negligible"
"253","hive",0.495553059327812,0.0199189129958361,"negligible"
"254","hk2",0.136869340430645,0.0452224413762875,"negligible"
"255","HoloEverywhere",0.00778239529525608,0.0820688143765067,"negligible"
"256","hornetq-old",6.83947580554425e-12,0.213903133903134,"small"
