"","names","rq1df","rq2df"
"217","cloudreader",94.7413466292222,88.7427559040613
"218","cm-umts-yangtze-system-core",0.135635428245128,0.127047610456781
"219","CM9-exchange-aosp",0,0
"220","cmu-sphinx4",78.126006669194,73.1794236231056
"221","coastal-hazards",53.5759941568258,50.1838061304284
"222","cobbler",54.2541712980514,50.8190441827123
"223","cobbler-2",0.0678177141225642,0.0635238052283903
"224","cobbler-legacy",0,0
"225","cocos2dx-js-callbacks",99.1494980471889,92.8718032439066
"226","coge",165.746493315547,155.252179978186
"227","collectd",35.1295759154883,32.9053311083062
"228","collectd-fglrx",0,0
"229","collectd-oml",0.0678177141225642,0.0635238052283903
"230","colloquy",0.813812569470771,0.762285662740684
"231","Colloquy",194.840292674127,182.503892421165
"232","com",136.856147099335,128.191038950892
"233","commons-lang",106.405993458303,99.6688504033444
"234","commons-math-optimizers",79.7536318081356,74.703994948587
"235","commons-vfs",11.3933759725908,10.6719992783696
"236","commonsense-frontend",23.5327468005298,22.0427604142514
"237","console",57.577239290057,53.9317106389034
"238","contacts",0,0
"239","context-sensitive-sr",2.44143770841231,2.28685698822205
"240","contiki",0.0678177141225642,0.0635238052283903
"241","contiki-avr-zigduino",0.203453142367693,0.190571415685171
"242","contiki-branch",0.135635428245128,0.127047610456781
"243","contiki-cc253x",0,0
"244","Contiki-IDS",135.431975102761,126.857039041095
"245","contiki-interop",0.610359427103078,0.571714247055513
"246","contiki-stm32w",0,0
"247","Contiki-u101-SICS",1.55980742481898,1.46104752025298
"248","contiki-wmi",1.35635428245128,1.27047610456781
"249","continuum",48.4218478835109,45.3559969330707
"250","corba",0,0
"251","core",195.518469815353,183.139130473449
"252","core-geonetwork",143.366647655101,134.289324252817
"253","cornerstone-framework",4.34033370384411,4.06552353461698
"254","corpmail",0.339088570612821,0.317619026141952
"255","corsix-th",97.8609614788602,91.6648509445672
"256","cos_packages_apps_Settings",0.203453142367693,0.190571415685171
"257","cosmo",108.643978024348,101.765135975881
"258","Coupe2012",5.42541712980514,5.08190441827123
"259","coweb",10.9186519737328,10.2273326417708
"260","cpu-bitminer",45.9804101750986,43.0691399448486
"261","crtmpserver",19.7349548096662,18.4854273214616
"262","crtmpserver-os_x",19.5315016672985,18.2948559057764
"263","crtools",11.8680999714487,11.1166659149683
"264","cruisecontrol",59.611770713734,55.8374247957551
"265","crunch",6.03577655690822,5.65361866532674
"266","crux-framework",39.063003334597,36.5897118115528
"267","cs-voltdb",0,0
"268","CS143-Project",15.4624388199446,14.483427592073
"269","csft209",6.78177141225642,6.35238052283903
"270","csft5",121.461525993513,113.771135164047
"271","csipsimple",79.211090095155,74.1958045067599
"272","csolve",53.5081764427032,50.1202823252
"273","csolve-bak",0,0
"274","csv2rdf4lod-automation",10.57956340312,9.90971361562889
"275","ctags",34.7226696307529,32.5241882769358
"276","culture-hub",4.06906284735385,3.81142831370342
"277","CVC4",120.918984280532,113.26294472222
"278","cyberdojo",57.3059684335668,53.6776154179898
"279","cyklotron",21.0913090921175,19.7559034260294
"280","cytoscape-impl",112.441770015212,105.322469068671
"281","cytoscape2",111.763592873986,104.687231016387
"282","dalvik",0.813812569470771,0.762285662740684
"283","dalvik_test",0,0
"284","Dalvik-VM",0,0
"285","dANN",30.1110650704185,28.2045695214053
"286","Dart",0,0
"287","dasher",53.3047233003355,49.9297109095148
"288","databus",13.699178252758,12.8318086561348
"289","datahappi",16.6153399600282,15.5633322809556
"290","dawn-ui",0,0
"291","dbflute",12.4784593985518,11.6883801620238
"292","DBS",83.5514237989992,78.2613280413769
"293","dcache",116.646468290811,109.260944992831
"294","ddb-next",24.3465593700006,22.8050460769921
"295","ddd",124.445505414905,116.566182594096
"296","debianjp-monthly-report",0,0
"297","debrief",0,0
"298","deegree3",125.191500270254,117.264944451609
"299","Deeva",9.96920397601694,9.33799936857338
"300","delving",29.568523357438,27.6963790795782
"301","Demigods",74.0569438218402,69.3679953094022
"302","Denizen",143.909189368081,134.797514694644
"303","derby",111.831410588108,104.750754821616
"304","development",13.9026313951257,13.02238007182
"305","device_samsung_tuna",0.0678177141225642,0.0635238052283903
"306","device_samsung_tuna_s4",0,0
"307","devilry-prototype1",5.08632855919232,4.76428539212927
"308","dimple",37.9101021945134,35.5098071226702
"309","directory-shared",125.530588840866,117.58256347775
"310","directory-studio",58.7301404301406,55.011615327786
"311","DistSysDesign",6.78177141225642,6.35238052283903
"312","dltk",0,0
"313","DMDirc",286.394206739589,268.261029479492
"314","dms-project",0.135635428245128,0.127047610456781
"315","dnd",17.0900639588862,16.0079989175544
"316","Docear",94.2666226303643,88.2980892674625
"317","dojox",226.511165169365,212.169509462824
"318","dojox-oldmirror",220.271935470089,206.325319381812
"319","domjudge",64.9693701294165,60.8558054087979
"320","dotCMS",96.3689717681638,90.2673272295426
"321","dotfiles",0.542541712980514,0.508190441827122
"322","dresdenocl",11.8002822573262,11.0531421097399
"323","droidbuild",0.0678177141225642,0.0635238052283903
"324","droidjunk_packages_apps_Mms",0.339088570612821,0.317619026141952
"325","droidjunk_packages_apps_Phone",0.0678177141225642,0.0635238052283903
"326","droidjunk_packages_apps_Settings",3.05179713551539,2.85857123527756
"327","drools",104.032373464014,97.4455172203507
"328","druid",96.4367894822864,90.330851034771
"329","DSpace",86.8066740768822,81.3104706923396
"330","DSpace-SVN-Deprecated",55.0679838675222,51.5813298454529
"331","DynmapCore",10.3082925466298,9.65561839471533
"332","e4",0,0
"333","eclipse",13.7669959668805,12.8953324613632
"334","eclipse-fedora-packager",0,0
"335","eclipse-platform",0,0
"336","eclipse-sse-modifications",0,0
